sample_id,path,language,source,source_partition,original_label,label,is_unknown,expected_hands,group_id,split,content_sha256,file_bytes
072d12b2036be6c4629b,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2601.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,432835f3f47e56f9c74b0790ddef1b53a95e5474186b8b406b92d7e519e24071,11558
13bbe3fb65e120369dbb,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2602.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,4e9ec8e3d390ca101b2517530d0e900d0a707e9a71a44688236dfd8fbe77d27c,11632
b0a6bac3777009395293,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2603.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,7dcd437ef5129488afabe2d4399f0274949b6ecda1b7262eba37f53494ade2b5,11669
28afb83d3cd77a0d4654,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2604.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,219fa0eb9d37d8b405bdee052220d3f2e3f94cda7dd6064ce0a5f81904593450,11665
6611b97f41151cc5b747,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2605.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,a14f70984d27aacd0bab2fba2373d15be58da9b393d88ea64e14819b69386de7,11748
50f0b0a569108d2c71d0,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2606.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,c2a1ee7711ba96cd5c5b3b54df62b95a058df1fc5567ab21733a2555f75be23b,11758
a65c817ed3f6957320c3,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2607.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,efa4b08dc14bc620f7fa92d20f08d48021eb69ea2717c9deb1a0473dd7bc55a5,11710
d3241e3af342db6fbae6,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2608.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,c32b1af257c8810e4d37ddf7b97ccfb3144810d158ad5540d245484bb84134b6,11763
46a1fe88b0a405acc6e8,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2609.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,9e317ad3c88510525782ce5a7975a2a5b4c44021df8ae3c86d851308e3b40494,11718
19c54c89e0e8ef3742c6,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2610.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,889663d0f8771d7858a1df795b08c2ee7d275c61fec2fb84f7ace5cc697d68c4,11788
2113e1d5821ac3b2d4fa,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2611.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,b4399ba22ee2056c9df0d57faeaee552d38cb7c027c318a5e9093317579e320a,11668
3e5117f8e5017b2943dd,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2612.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,90a348937a24f84111612df287a6605847cf44e233c0d0e67282ac489d333338,11789
b1ca50a84499ae1b6786,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2613.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,143bddc9d4149b47548a7e2f7598034258ecdb5c718f2a34c34ab133c2c0e022,11704
78bbe87b358f473b7e34,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2614.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,000b03ed4e076144b8c26b637a558972e9450649f7bd3f495220d065bbfab3c0,11763
87a85767bef51ef44a57,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2615.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,4aa9aa5ce3aed51644c6b6e28e89cc3f1aea25d8095abf8738f80530f270f177,11676
881eddeaf038481a3b55,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2616.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,4bc5db9121a954db8e59e3a16a9d222f01d97add9c529b116397358d48b04d01,11654
2a4bf1a1c5ddbe0c4300,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2617.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,c1c081ad3d55ae9630fb7e51e9f1f4ca582f6eebcc261c0777d6099900f76204,11586
0e98da70938a00f6a864,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2618.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,a672393e6496f475c52e7da58ed9b950585396341d60e77f810c62d17b60488c,11548
85307bbe2680e15c34d5,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2619.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,8e92d297c66d4092a6c8f71e4cdb1544beacfb8dc34056ce2961ab361a47841d,11554
8f9dc7a9024599271690,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2620.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,7696906f04e6be538a6cbd8effc29d8c4444ce886d4fe65121268058cf19126d,11616
746d7314bc276cb6ab17,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2621.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,7fc60dc33e3d8b1ffef2e9eb25c8ce39a8e767eaf687c7c1e23227c986ca9580,11768
4ff28ede1d2c66351451,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2622.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,25ffdca7a26d42d960e15054755ed215b060049a2e22bfed5c974fa4f0d3aed8,11798
8650535d3daf10e2478c,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2623.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,52b92403e0fca575df8ae9856649c540aeda8cb2fd2b89f9afe2a8ad23a92f07,11843
a8e158ab50750f3a6e7f,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2624.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,f29af3572307ea1fdecaa023a62e568bc00a1a507e29d6db81589773aa8a1095,11909
d6626280e68c162efde8,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2625.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,29070c16d8fb825ebe30e03cea305fef9c53e3b5642580a90ead60ce9c3879b6,11891
1b653d783dccb2319cc8,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2626.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,78ae3019ef86ced5d03c21f9bc8ba75993960ec388d1e16c53137059b297fe96,11895
f550b3e924e97f828018,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2627.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,b80f0dbe77d3cdc9869ce0a47b26873996eafc93359f802cf13fd129e9b35672,11870
b443b8422aed176c266a,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2628.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,dc4d36a4ff648927d77df2a7dab49b9c1df10ca7a3ec0367c5ec987057e9ea76,11814
953d5c0122a99461c216,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2629.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,d988136be96a7c55180da23a0ec09d04f6f4b439842b4206970b762da11838b8,11758
0af8101773d33a22a5e6,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2630.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,6f83e7ca44899e151a5532e1e31923a561f979da30d5b0ea42bca9547146a7ec,11861
27f1ea853b7ae91a60ab,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2631.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,bb9270c3a94243b5310d33a139df0152ffcc578f132c549fd7b081abc33c7d3a,11952
a9a1db2735a8f787fe77,raw/asl/alphabet/asl_alphabet_train/asl_alphabet_train/A/A2632.jpg,ASL,asl_alphabet_v1,train_bundle,A,A,0,1,asl_alphabet_v1:sequence:052,test,8f8d6ae0dad4251e6adcc6b7013ad67b732b90f4a8f632aae3af100220a0212c,11848
