sample_id,path,language,source,source_partition,original_label,label,is_unknown,expected_hands,group_id,split,content_sha256,file_bytes
17dc2e4217240803bac4,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.275ba73c-e263-11ed-b74a-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.275ba73c-e263-11ed-b74a-001a7dda7115,test,ca03b89ef85af4db876c6c977363dc99fdba30e06476c78e3c405833d4fa190d,41833
91235f02480e28f46d52,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.2a57e4ac-e263-11ed-84c2-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.2a57e4ac-e263-11ed-84c2-001a7dda7115,test,8b2083afe401f90fa3d6637413762b0c76d047e3b69a625d8758367fdb63bac6,39877
81a833d866ab2430ee82,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.2d53f1a4-e263-11ed-a0c4-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.2d53f1a4-e263-11ed-a0c4-001a7dda7115,test,8254841caa6ce3fc1213fdacdf3b5f0eecf604130844305bbec87e29a4ce9174,41282
805a6370c519db4215f1,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.30500241-e263-11ed-8af6-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.30500241-e263-11ed-8af6-001a7dda7115,test,fa17a0b2d070be110f2308daeecab8aba6db17173c8e5698c70dd10461cde980,38479
a8d02b7d94bbc157199c,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.334c3078-e263-11ed-b4a0-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.334c3078-e263-11ed-b4a0-001a7dda7115,test,f69f0adf70c0dd8dc0dcb5170b6ade3d1614565ccfae2ecf377bb744a727ebb2,40250
d0b8787c5b4c2a1b0c66,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.364879d6-e263-11ed-a31a-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.364879d6-e263-11ed-a31a-001a7dda7115,test,027d97ddeda8d45511053c1ff0306ec12e64f7b3448a4bb3e47ca90481c8484f,42316
6e6f9261b57cf48b21d3,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.394490ad-e263-11ed-b56c-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.394490ad-e263-11ed-b56c-001a7dda7115,test,e19e9ae6a4fe17f92b7fac6a6a5f08d0b94816d60f56111b2c699b1bdf621bdd,41884
ed11e2909bfa24065ef6,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.3c4099c2-e263-11ed-972e-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.3c4099c2-e263-11ed-972e-001a7dda7115,test,f7b4d8e02ae86506eecb32a79ebeb9bba0dadcdf7af35f56ea4fa435bcf4315c,40577
bffd39bc986e0677682c,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.3f3cb048-e263-11ed-b683-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.3f3cb048-e263-11ed-b683-001a7dda7115,test,1862d47e1c7ecc7794a2c6edd18b0ee221f50ce692436b7559d66eee4a617b7f,40796
60d95951f7721e0f1f24,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.4238e0dd-e263-11ed-8a99-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.4238e0dd-e263-11ed-8a99-001a7dda7115,test,ddd923a37b3543783ba771a0e7a95e9be3ff7b0afb099bbb015911364fd62d39,41915
42a441c4dbb5fa089148,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.4534efb7-e263-11ed-8179-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.4534efb7-e263-11ed-8179-001a7dda7115,test,4864f06fb9ba68f35ff12eec996df817d5a1171ca10a5648bc4bb6498c481910,42735
ae436572007ed4aaedb4,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.483295b9-e263-11ed-b1b8-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.483295b9-e263-11ed-b1b8-001a7dda7115,test,485962dde0ad914933a8f3f0bd044ad7ed1f9eaa5c68981c69e8c371ffe83af2,42673
ec35ff5bf8d11e1a3fb5,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.4b2eb8c6-e263-11ed-a6f3-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.4b2eb8c6-e263-11ed-a6f3-001a7dda7115,test,fcfede01d86380c3431bdd34c162f8ef4f8c14d80d4fdff2a1d2d81ff9159045,42778
395431ac2969fbb9da2c,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.4e2afd91-e263-11ed-9d01-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.4e2afd91-e263-11ed-9d01-001a7dda7115,test,207f41653763ad8045af880c7b4e8302a0fa79ded4a88fdbb94920a3461e725f,39869
1f4733fc1c332c86c757,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.512713de-e263-11ed-9a37-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.512713de-e263-11ed-9a37-001a7dda7115,test,ec2f22e86f38ae5aeaae7bbd9e3800d6503a8eb7db3c22f9653eafe7e4aecb0b,40014
64a46cfd61aedaaa197d,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.54232b0c-e263-11ed-a59c-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.54232b0c-e263-11ed-a59c-001a7dda7115,test,7ff78a6295e819a14354c4205256a51d438923554c427901be3b19f020e0805a,42104
a354f5d16ade650f73f7,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.571f5733-e263-11ed-993a-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.571f5733-e263-11ed-993a-001a7dda7115,test,64abd40d0a42bbca8aad0471686bc4aaba21bc8c96475058f7e3c876fe44b532,42278
4730356c7fec7de9c900,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.5a1b9e6f-e263-11ed-a8d9-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.5a1b9e6f-e263-11ed-a8d9-001a7dda7115,test,6b4789d25deaef26171bee70915b27ed0d5b0177871163212cc734b39e91f3c8,42772
d1dc4ad9dad98bc0bc5f,raw/bisindo/alphabet/binus-hand-sign/collectedimages/A/A.5d17ec16-e263-11ed-9c4f-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,A,A,0,2,binus_hand_sign:A:a.5d17ec16-e263-11ed-9c4f-001a7dda7115,test,b9cd681ef8e214c34e728f164f84f2f82b2bfc93c9d423eedcb9b93156708983,41018
d3a5ceaeeaa43b3639fa,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.67e9aee7-e263-11ed-9892-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.67e9aee7-e263-11ed-9892-001a7dda7115,test,393368793395a5f3d1cb00d01f5816fb70020af0e8d15fd95e8392b3df5ca023,41730
46ca7c069a982ae84537,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.6ae5f089-e263-11ed-9b3d-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.6ae5f089-e263-11ed-9b3d-001a7dda7115,test,84bf0d418432f1772434e6e30a79328844ae654698fbdd179f86c09546e1b90b,41770
d5ef8769bf69dcb70c4a,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.6de20096-e263-11ed-96a9-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.6de20096-e263-11ed-96a9-001a7dda7115,test,dcd522d08d1978e39a8e4e020246f513708603dfbf538b827d27969b6ec0c4ee,41360
b88efe5cf8a368507bcd,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.70de14bf-e263-11ed-a23d-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.70de14bf-e263-11ed-a23d-001a7dda7115,test,9fe7e04b55302e632aff3eac6fcda1e38b7b19ac835877a050ababd3290526fa,44180
74a3fbadebd3f6aaa71b,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.73da6223-e263-11ed-9803-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.73da6223-e263-11ed-9803-001a7dda7115,test,9de7ceef90ff556fd15ca54ad02e3b0b3cca4ac3d1c7092bf96ffdfb61887c2b,41332
c85dff5b72d0b7ec66a8,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.76d6a152-e263-11ed-bac2-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.76d6a152-e263-11ed-bac2-001a7dda7115,test,1fde8efca5c609aa99ee6b725d313014b1c40fea182c919a53c29cdb35741765,40967
aea69c5f030bbbf48b6d,raw/bisindo/alphabet/binus-hand-sign/collectedimages/B/B.79d2aba4-e263-11ed-a7dd-001a7dda7115.jpg,BISINDO,binus_hand_sign,collectedimages,B,B,0,2,binus_hand_sign:B:b.79d2aba4-e263-11ed-a7dd-001a7dda7115,test,12b1fede01882c4ca6220d491bf48b7fe479630de3d304eefcec56a425cf869d,40797
